id_1,id_0,title_1,title_0,brand_name,category,table_name,dependency_ratio,dependency_count,similarity,max_length,min_length,jaro_winker
132,56296,파라다이스 오로라 샤인 립 트리트먼트,파라다이스 오로라 샤인 립 트리트먼트,디어달리아,립메이크업,naver_beauty_product_info_extended_v1_211217,1.0,5,1.0,16,16,
137,87033,오로라 쉬머 하이라이터,오로라 에디션 쉬머 하이라이터,이니스프리,컨투어링,naver_beauty_product_info_extended_v1_211217,1.0,3,0.7692,13,10,
137,86570,오로라 쉬머 하이라이터,오로라 쉬머 하이라이터,이니스프리,컨투어링,naver_beauty_product_info_extended_v1_211217,1.0,3,1.0,10,10,
141,4623,코스메 리포솜 트리트먼트 리퀴드,리포솜 트리트먼트 리퀴드,데코르테,에센스,naver_beauty_product_info_extended_v1_211217,1.0,3,0.7857,14,11,
144,59357,햄프씨드 인 오로라 오일 크림,햄프씨드 인 오로라 오일 크림,비클,크림,naver_beauty_product_info_extended_v1_211217,1.0,5,1.0,12,12,
146,4647,코스메 파우더 블러쉬 리미티드 에디션,파우더 블러쉬,데코르테,컨투어링,naver_beauty_product_info_extended_v1_211217,1.0,2,0.375,16,6,
147,100598,하드캐리 구원카라 오로라 픽서,하드캐리 구원카라 오로라 픽서,아이크라운,마스카라,naver_beauty_product_info_extended_v1_211217,1.0,4,1.0,13,13,
148,326,인텐시브 샷크림,인텐시브 샷 크림,갈랑트리,크림,naver_beauty_product_info_extended_v1_211217,0.5,1,1.0,7,7,
151,358,투엑스 아쿠아 부스팅 토너,투엑스 아쿠아 부스팅 토너,강남이스트,스킨/토너,naver_beauty_product_info_extended_v1_211217,1.0,4,1.0,11,11,
152,355,투엑스 아쿠아 카밍 크림,투엑스 아쿠아 카밍 크림,강남이스트,크림,naver_beauty_product_info_extended_v1_211217,1.0,4,1.0,10,10,
153,360,투엑스 아쿠아 인텐시브 크림,투엑스 아쿠아 인텐시브 크림,강남이스트,크림,naver_beauty_product_info_extended_v1_211217,1.0,4,1.0,12,12,
154,356,투엑스 아쿠아 카밍 세럼,투엑스 아쿠아 카밍 세럼,강남이스트,에센스,naver_beauty_product_info_extended_v1_211217,1.0,4,1.0,10,10,
155,105500,써메딕 핑크 비타 브라이트닝 오로라 미스트 건성,핑크 비타 브라이트닝 오로라 미스트,써메딕플러스,스킨/토너,naver_beauty_product_info_extended_v1_211217,1.0,5,0.75,20,15,
156,56296,블루밍 에디션 파라다이스 오로라 샤인 립 트리트먼트,파라다이스 오로라 샤인 립 트리트먼트,디어달리아,립메이크업,naver_beauty_product_info_extended_v1_211217,1.0,5,0.7273,22,16,
156,56333,블루밍 에디션 파라다이스 오로라 샤인 립 트리트먼트,블루밍 에디션 파라다이스 오로라 샤인 립 트리트먼트,디어달리아,립메이크업,naver_beauty_product_info_extended_v1_211217,1.0,7,1.0,22,22,
166,49146,모이스춰라이징 라이트 플루이드 지복합성,모이스춰라이징 라이트 플루이드,갸마르드,크림,naver_beauty_product_info_extended_v1_211217,1.0,3,0.7778,18,14,
167,49143,울트라 리치 모이스춰라이징 크림 건성,울트라 리치 모이스춰라이징 크림,갸마르드,크림,naver_beauty_product_info_extended_v1_211217,1.0,4,0.875,16,14,
168,49141,온뜨레 토닝 로션 유칼립투스,토닝 로션 유칼립투스,갸마르드,스킨/토너,naver_beauty_product_info_extended_v1_211217,1.0,3,0.75,12,9,
171,384,레드 진생 크림,레드 진생 크림,게리쏭,크림,naver_beauty_product_info_extended_v1_211217,1.0,3,1.0,6,6,
174,375,컴플렉스 로션,컴플렉스 로션,게리쏭,로션,naver_beauty_product_info_extended_v1_211217,1.0,2,1.0,6,6,
175,386,컴플렉스 스킨,컴플렉스 스킨,게리쏭,스킨/토너,naver_beauty_product_info_extended_v1_211217,1.0,2,1.0,6,6,
176,388,레드 진생 스킨 에센스,레드 진생 스킨 에센스,게리쏭,에센스,naver_beauty_product_info_extended_v1_211217,1.0,4,1.0,9,9,
179,379,멀티 코렉티브 아이 크림,멀티 코렉티브 아이크림,게리쏭,크림,naver_beauty_product_info_extended_v1_211217,0.6667,2,1.0,10,10,
181,370,딜라이트 크림 지성,딜라이트 크림,게리쏭,크림,naver_beauty_product_info_extended_v1_211217,1.0,2,0.75,8,6,
182,383,시그니처 오일세럼,시그니처 오일 세럼,게리쏭,에센스,naver_beauty_product_info_extended_v1_211217,0.5,1,1.0,8,8,
186,395,호랑이 스킨 토너,호랑이 스킨토너,고원,스킨/토너,naver_beauty_product_info_extended_v1_211217,0.5,1,1.0,7,7,
187,393,발효 다슬 에센스,발효 다슬 에센스,고원,에센스,naver_beauty_product_info_extended_v1_211217,1.0,3,1.0,7,7,
188,396,울트라 필업 리프팅 앰플 이엑스,울트라 리프팅 앰플,고유에,에센스,naver_beauty_product_info_extended_v1_211217,1.0,3,0.6154,13,8,
190,7629,골든트리 프레스티지 엠프레스 크림,골든트리 프레스티지 엠프레스 크림,루트리,크림,naver_beauty_product_info_extended_v1_211217,1.0,4,1.0,15,15,
191,7628,골든트리 로얄 리스플렌던트 세럼,골든트리 로얄 리스플렌던트 세럼,루트리,에센스,naver_beauty_product_info_extended_v1_211217,1.0,4,1.0,14,14,
195,11287,청은로 리네츄레이션 이에프 크림,청은로 리네츄레이션 크림,뷰티베이커리,크림,naver_beauty_product_info_extended_v1_211217,1.0,3,0.7857,14,11,
196,11287,청은로 리네츄레이션 크림 이엑스,청은로 리네츄레이션 크림,뷰티베이커리,크림,naver_beauty_product_info_extended_v1_211217,1.0,3,0.7857,14,11,
197,11283,청은로 리네츄레이션 세럼,청은로 리네츄레이션 세럼,뷰티베이커리,에센스,naver_beauty_product_info_extended_v1_211217,1.0,3,1.0,11,11,
