id,brand_name,product_name,selection,division,groups
10844,보브,[단종] 선 마스터 페이셜 선 에어 미스트 [SPF30/PA++],선케어,선스프레이,
10854,보브,[단종] 원샷 UV컷 클리어 선 스프레이 [SPF50+/PA+++],선케어,선스프레이,
10853,보브,[단종] 원샷 UV컷 웻 앤 드라이 선크림 [SPF50+/PA+++],선케어,선크림,워터프루프선크림
27087,보브,[단종] 원샷 UV컷 파우더리 선 스프레이 [SPF50+/PA+++],선케어,선스프레이,
89994,비쉬,[단종] 까삐딸 쏠레이 썬 스틱 [SPF50+],선케어,선스틱,
52338,아넷사,[단종] 화이트닝 UV 프로텍터 [SPF50+/PA++++],선케어,선크림,마일드선크림
68010,아비노,[단종] 내추럴 프로텍션 선블록 로션 [SPF50+/PA+++],선케어,선크림,마일드선크림
68006,아비노,[단종] 컨티뉴어스 프로텍션 선블럭 로션 [S[PF50+/PA+++],선케어,선크림,워터프루프선크림
109809,유세린,[단종] 아쿠아포린 액티브 모이스처라이징 크림 [SPF15],선케어,선베이스,
92255,미샤,[단종] 올 어라운드 세이프 블록 마일드 에센스 선밀크 [SPF45/PA+++],선케어,선크림,마일드선크림
52396,미샤,[단종] 올 어라운드 세이프 블록 화이트닝 선 미스트 [SPF50+/PA+++],선케어,선스프레이,
92018,미샤,[단종] 올 어라운드 세이프 블록 스프레이 선 밀크 [SPF50+/PA+++],선케어,선스프레이,
92147,미샤,[단종] 하루야채 수딩젤,선케어,에프터선,수딩젤
91936,미샤,[단종] 하루해초 수딩젤,선케어,에프터선,수딩젤
29220,에스케이투,[단종] 페이셜 트리트먼트 UV 프로텍션 [SPF25/PA++],선케어,선크림,마일드선크림
29218,에스케이투,[단종] 화이트닝 소스 덤 데피니션 UV 로션 [SPF50/PA+++],선케어,선크림,마일드선크림
871,끌레드뽀 보떼,UV 프로텍티브 크림 [SPF50+/PA+++],선케어,선크림,마일드선크림
60578,스틸라,[단종] 브라이트닝 UV쉴드 [SPF50+/PA+++],선케어,선크림,톤업선크림
111050,VDL,[단종] 뷰티선 데일리 [SPF35/PA++],선케어,선크림,마일드선크림
111045,VDL,[단종] 뷰티선 하이래스팅 [SPF50+/PA+++],선케어,선크림,워터프루프선크림
