id_1,id_0,title_1,title_0,brand_name,category_1,category_0,similarity,dependency,max_length,min_length,dependency_ratio,dependency_count,jaro_winker,levenshtein_distance,levenshtein_similarity
3402,3566,화이트씨드 리얼 미백 토너 로션 에센스 폼 기획전,화이트씨드 리얼 미백 토너,더페이스샵,스킨/토너,스킨/토너,0.85,1,20,11,1.0,4,,,
3403,3323,더테라피 로얄 메이드 수분 블렌딩 크림 안티에이징 항건조 고수분 주름개선,더테라피 로얄메이드 수분블렌딩 크림,더페이스샵,크림,크림,0.8387,1,31,16,1.0,4,,,
3405,3404,아르쌩뜨 에코테라피 모이스춰라이저,아르쌩뜨 에코 테라피 모이스춰라이저,더페이스샵,로션,로션,1,1,16,16,1,3,,,
3414,3448,치아씨드 수분 토너,치아씨드 수분 토너,더페이스샵,스킨/토너,스킨/토너,1,1,8,8,1,3,,,
3415,3306,더테라피 로얄메이드 오일 블렌딩 크림,더테라피 로얄메이드 오일 블렌딩크림,더페이스샵,크림,크림,1,1,16,16,1,5,,,
3416,3404,아르쌩뜨 에코테라피 모이스춰라이저,아르쌩뜨 에코 테라피 모이스춰라이저,더페이스샵,로션,로션,1,1,16,16,1,3,,,
3423,3306,더 테라피 로얄 메이드 오일 블렌딩 크림,더테라피 로얄메이드 오일 블렌딩크림,더페이스샵,크림,크림,1,1,16,16,1,7,,,
3428,3323,더테라피 로얄메이드 수분블렌딩 크림,더테라피 로얄메이드 수분블렌딩 크림,더페이스샵,크림,크림,1,1,16,16,1,4,,,
3429,3324,더테라피 오일드롭 항노화 세럼,더테라피 오일드롭 항노화 세럼,더페이스샵,에센스,에센스,1,1,13,13,1,4,,,
3431,3526,망고씨드 보습 버터 크림 세라마이드 수분 고보습 피부영양 진정,망고씨드 보습 버터,더페이스샵,크림,크림,0.7692,1,26,8,1.0,3,,,
3434,3573,화이트씨드 리얼 미백 토너 로션 에센스 택,화이트씨드 리얼 미백 로션,더페이스샵,로션,로션,0.8824,0,17,11,1.0,4,,,
3435,3321,더테라피 퍼스트 세럼 코튼패드,더테라피 퍼스트 세럼,더페이스샵,에센스,에센스,0.8974,1,13,9,1.0,3,,,
3437,4356,닥터벨머 클린페이스 마일드 로션 산뜻한 수분,클린페이스 마일드 로션,더페이스샵,로션,로션,0.8421,1,19,10,1.0,3,,,
3438,4356,닥터벨머 클린페이스 마일드 로션,클린페이스 마일드 로션,더페이스샵,로션,로션,0.9048,1,14,10,1.0,3,,,
3441,3448,치아씨드 수분 품 토너 로션 무료배송,치아씨드 수분 토너,더페이스샵,스킨/토너,스킨/토너,0.8444,0,15,8,1.0,3,,,
3445,3602,망고씨드 보습 아이크림,망고씨드 보습 아이크림,더페이스샵,크림,크림,1,1,10,10,1,3,,,
3447,3607,화이트씨드 리얼 미백 에센스,화이트씨드 리얼 미백 에센스,더페이스샵,에센스,에센스,1,1,12,12,1,4,,,
3449,3367,오일 광채 수분 미스트 아르간오일 함유,오일광채 수분 미스트,더페이스샵,스킨/토너,스킨/토너,0.8542,1,16,9,1.0,3,,,
3450,3494,치아씨드 피지잡는 수분크림 대용량,치아씨드 피지잡는 수분 크림,더페이스샵,크림,크림,0.9333,1,15,12,1.0,4,,,
