id_1,id_0,title_1,title_0,brand_name,category_1,category_0,similarity,dependency,max_length,min_length,dependency_ratio,dependency_count,jaro_winker,levenshtein_distance,levenshtein_similarity
35552,62025,데미지 클리닉 샴푸,데미지 클리닉 샴푸,케라시스,헤어케어,헤어케어,1,1,8,8,1,3,,,
35553,62023,퓨어 앤 차밍 퍼퓸 샴푸,퓨어 앤 차밍 퍼퓸 샴푸,케라시스,헤어케어,헤어케어,1,1,9,9,1,5,,,
35554,62026,퍼퓸 글램 스타일리쉬 샴푸,글램 앤 스타일리쉬 퍼퓸 샴푸,케라시스,헤어케어,헤어케어,0.8561,0,12,11,1.0,4,,,
35557,61954,어드밴스드 리페어 앰플 워터 트리트먼트,어드밴스드 리페어 앰플 워터트리트먼트,케라시스,헤어케어,헤어케어,1,1,17,17,1,5,,,
35558,61996,스위트 앤 플라워리 퍼퓸 샴푸,퍼퓸 스위트 앤 플라워리 샴푸,케라시스,헤어케어,헤어케어,0.8889,0,12,12,1.0,5,,,
35559,61917,모이스처 클리닉 샴푸,모이스처 클리닉 샴푸,케라시스,헤어케어,헤어케어,1,1,9,9,1,3,,,
35563,61967,러블리 데이지 퍼퓸 샴푸,러블리 데이지 퍼퓸 샴푸,케라시스,헤어케어,헤어케어,1,1,10,10,1,4,,,
35564,61965,볼륨 클리닉 스타일 에센스,뿌리볼륨 클리닉 스타일 에센스,케라시스,헤어케어,헤어케어,0.8881,1,13,11,1.0,4,,,
35566,62012,데빌스 퍼퓸 미드나잇 판타지 샴푸,미드나잇 판타지 퍼퓸 샴푸,케라시스,헤어케어,헤어케어,0.8074,0,14,11,1.0,4,,,
35568,61985,볼륨 클리닉 샴푸,볼륨 클리닉 샴푸,케라시스,헤어케어,헤어케어,1,1,7,7,1,3,,,
35569,61993,뿌리 볼륨 클리닉 샴푸,뿌리볼륨 클리닉 샴푸,케라시스,헤어케어,헤어케어,1,1,9,9,1,4,,,
35571,61910,케라마이드 극손상 클리닉 트리트먼트,케라마이드 극손상 클리닉 트리트먼트,케라시스,헤어케어,헤어케어,1,1,16,16,1,4,,,
35572,62001,어드밴스드 볼륨 앰플 트리트먼트,어드밴스드 볼륨 앰플 트리트먼트,케라시스,헤어케어,헤어케어,1,1,14,14,1,4,,,
35574,61919,러블리 앤 로맨틱 퍼퓸 샴푸,퍼퓸 러블리 앤 로맨틱 샴푸,케라시스,헤어케어,헤어케어,0.8788,0,11,11,1.0,5,,,
35577,61972,엘레강스 앤 센슈얼 퍼퓸 린스,엘레강스 앤 센슈얼 퍼퓸 린스,케라시스,헤어케어,헤어케어,1,1,12,12,1,5,,,
35578,61968,엑스트라 데미지 케어 린스,엑스트라 데미지케어 린스,케라시스,헤어케어,헤어케어,1,1,11,11,1,4,,,
35579,62049,두피 프레쉬 쿨 샴푸,두피 프레쉬 쿨 샴푸 플러스,케라시스,헤어케어,헤어케어,0.9091,1,11,8,1.0,4,,,
35581,62025,데미지 클리닉 샴푸,데미지 클리닉 샴푸,케라시스,헤어케어,헤어케어,1,1,8,8,1,3,,,
35582,62030,러블리 데이지 퍼퓸 린스,러블리 데이지 퍼퓸 린스,케라시스,헤어케어,헤어케어,1,1,10,10,1,4,,,
35583,61907,프로폴리스 샤인 트리트먼트,프로폴리스 샤인 트리트먼트,케라시스,헤어케어,헤어케어,1,1,12,12,1,3,,,
35587,61985,볼륨 클리닉 샴푸,볼륨 클리닉 샴푸,케라시스,헤어케어,헤어케어,1,1,7,7,1,3,,,
35589,61955,어드밴스드 볼륨 앰플 워터 트리트먼트,어드밴스드 볼륨 앰플 워터트리트먼트,케라시스,헤어케어,헤어케어,1,1,16,16,1,5,,,
35591,61924,어드밴스드 리페어 앰플 샴푸,어드밴스드 리페어 앰플 샴푸,케라시스,헤어케어,헤어케어,1,1,12,12,1,4,,,
35592,61996,스위트 플라워리 퍼퓸 샴푸,퍼퓸 스위트 앤 플라워리 샴푸,케라시스,헤어케어,헤어케어,0.8561,0,12,11,1.0,4,,,
35593,61915,빠른 건조 클리닉 샴푸,빠른 건조 클리닉 샴푸,케라시스,헤어케어,헤어케어,1,1,9,9,1,4,,,
35595,61930,케라마이드 마이크로 아쿠아 클리닉 세럼,케라마이드 마이크로 아쿠아 클리닉 세럼,케라시스,헤어케어,헤어케어,1,1,17,17,1,5,,,
35596,61969,케라마이드 클리닉 컨디셔너,케라마이드 클리닉 컨디셔너,케라시스,헤어케어,헤어케어,1,1,12,12,1,3,,,
35599,61950,케라마이드 열손상 클리닉 트리트먼트,케라마이드 열손상 클리닉 트리트먼트,케라시스,헤어케어,헤어케어,1,1,16,16,1,4,,,
35600,61929,엑스트라 데미지케어 샴푸,엑스트라 데미지케어 샴푸,케라시스,헤어케어,헤어케어,1,1,11,11,1,3,,,
35601,62029,샤르망 머스크 퍼퓸 린스,샤르망 머스크 퍼퓸 린스,케라시스,헤어케어,헤어케어,1,1,10,10,1,4,,,
35603,61961,어드밴스드 앰플 워터 트리트먼트,어드밴스드 앰플 워터트리트먼트,케라시스,헤어케어,헤어케어,1,1,14,14,1,4,,,
35604,62033,네이처링 스칼프테라피 트리트먼트,네이처링 스칼프테라피 탈모방지 트리트먼트,케라시스,헤어케어,헤어케어,0.9298,0,19,15,1.0,3,,,
35606,61917,모이스처 클리닉 샴푸,모이스처 클리닉 샴푸,케라시스,헤어케어,헤어케어,1,1,9,9,1,3,,,
35607,62017,내추럴 레시피 아르간 오일 샴푸,아르간 오일 샴푸,케라시스,헤어케어,헤어케어,0.0,1,13,7,1.0,3,,,
